"","SMILES1","SMILES2","Similarity","Activity.Difference","Max.Values","SALI"
"CHEMBL418198_CHEMBL281028","CCC1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC[C@@H]1C","CC1(C)CCNc2cc3nc(O)cc(C(F)(F)F)c3cc21",0.96932515,2.23," 7.80","72.6979920032208"
"CHEMBL418198_CHEMBL286684","CCC1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC[C@@H]1C","Oc1cc(C(F)(F)F)c2cc3c(cc2n1)NCCC3",0.98136646,2.35," 7.92","126.116669189"
"CHEMBL418198_CHEMBL347910","CCC1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC[C@@H]1C","Cc1c2c(cc3c(C(F)(F)F)cc(O)nc13)C(C)CC(C)(C)N2",0.9691358,2.09," 7.66","67.7159945827204"
"CHEMBL418198_CHEMBL351148","CCC1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC[C@@H]1C","CCC1(C)CCc2cc3c(C(F)(F)F)cc(O)nc3cc2N1",0.96296296,2.07," 7.64","55.8899955288004"
"CHEMBL418198_CHEMBL7089","CCC1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC[C@@H]1C","CC[C@H]1Nc2cc3nc(O)cc(C(F)(F)F)c3cc2C[C@H]1C",0.99382716,2.25," 7.82","364.499970840005"
"CHEMBL418198_CHEMBL7177","CCC1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC[C@@H]1C","CC[C@@H]1CCc2cc3c(C(F)(F)F)cc(O)nc3cc2N1",0.98148148,2.39," 7.96","129.059989675201"
"CHEMBL418198_CHEMBL7455","CCC1c2cc3c(C(F)(F)F)cc(O)nc3cc2NC[C@@H]1C","CC[C@H]1Nc2cc3nc(O)cc(C(F)(F)F)c3cc2C[C@@H]1C",0.99382716,2.39," 7.96","387.179969025605"
"CHEMBL443579_CHEMBL235159","COc1cccc(-c2ccc(C#N)c(C(F)(F)F)c2)c1","COc1ccc(-c2ccc(C#N)c(C(F)(F)F)c2)cc1",0.96363636,3.08," 9.10","84.6999915300008"
"CHEMBL4476493_CHEMBL1276308","CCC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C","CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C",0.98473282,2.11," 7.64","138.204959920561"
"CHEMBL450933_CHEMBL256769","COc1cccc2oc(=O)c3c(ccc4[nH]c(=O)cc(C)c43)c12","COc1c(C(=O)OC(F)(F)F)ccc2oc(=O)c3c(ccc4[nH]c(=O)cc(C)c43)c12",0.97222222,2.02," 9.70","72.7199941824005"
